dataset,method,graph_id,label,num_nodes,mean_saliency_raw,max_saliency_raw,std_saliency_raw,mean_saliency_norm,max_saliency_norm,std_saliency_norm
ENZYMES,NetLSD,205,0,22,2.6116043108819813e-05,8.072328610109203e-05,2.6595850661815455e-05,0.31798668024031296,0.9999875107990591,0.33216092310943773
ENZYMES,GIN,569,3,45,0.5810449123382568,1.1772030591964722,0.2215157449245453,0.4546353260969013,0.9999999990852011,0.20264233573041662
ENZYMES,Graph2Vec,569,3,45,0.9875042340586832,1.4268781911943211,0.17737341242830842,0.5218103621097472,0.9999999989116569,0.1930431385154313
ENZYMES,NetLSD,569,3,45,5.898227905712064e-06,1.7225504690965288e-05,4.932489720332277e-06,0.3354492640622137,0.9999413369969207,0.2893546596530401
IMDB-MULTI,GIN,471,0,7,0.02058863826096058,0.02058863826096058,0.0,0.0,0.0,0.0
IMDB-MULTI,Graph2Vec,471,0,7,1.2533907237781143,1.2533907237781143,0.0,0.0,0.0,0.0
IMDB-MULTI,NetLSD,471,0,7,0.00029895286842251956,0.00029895286842251956,0.0,0.0,0.0,0.0
IMDB-MULTI,GIN,9,0,22,0.011036583222448826,0.029068345203995705,0.004354666452854872,0.18216580565270293,0.9999999546448008,0.19750677805231687
IMDB-MULTI,Graph2Vec,9,0,22,1.0011850437762269,1.2831130852117947,0.15731797350725854,0.5761881437505688,0.9999999984967375,0.23649021146503268
IMDB-MULTI,NetLSD,9,0,22,0.0003836534523561717,0.008388146570806776,0.0017467237029343116,0.04556853311772262,0.9999998807630498,0.20827400724636136
IMDB-MULTI,GIN,1499,2,20,0.20822110772132874,0.20822109282016754,1.4901161193847656e-08,0.0,0.0,0.0
IMDB-MULTI,Graph2Vec,1499,2,20,0.9832351388173555,0.9832351388173554,1.1102230246251565e-16,0.0,0.0,0.0
IMDB-MULTI,NetLSD,1499,2,20,3.827070898854146e-06,3.827070898854146e-06,0.0,0.0,0.0,0.0
IMDB-MULTI,GIN,54,0,16,0.024420728906989098,0.04157833755016327,0.005327941849827766,0.20454534153422338,0.9999999536383769,0.24701203400765293
