dataset,perturb,level,method,dim,seed,cos,l2,delta_acc_svm,delta_acc_mlp,delta_f1_svm,delta_f1_mlp,delta_auc_svm,delta_auc_mlp
MUTAG,attrs,0.25,netlsd,64,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.5,netlsd,64,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.75,netlsd,64,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,1.0,netlsd,64,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.25,netlsd,128,0,0.9323671378213505,6.07137827325388,0.0,0.0,0.0,0.0,-0.0001269841269841976,0.00025396825396817313
MUTAG,edges,0.5,netlsd,128,0,0.9305954708336973,7.917661340009326,0.0,0.0,0.0,0.0,-0.0001269841269841976,0.00012698412698408656
MUTAG,edges,0.75,netlsd,128,0,0.9194937240990186,6.345919779365504,-0.010638297872340496,-0.010638297872340496,-0.012032770097286205,-0.012234688273696115,-0.0006349206349206549,-0.0003809523809523707
MUTAG,edges,1.0,netlsd,128,0,0.8951254342228662,7.994945396901728,-0.03191489361702127,-0.03191489361702127,-0.036502146644678435,-0.036502146644678435,-0.005015873015873029,-0.004952380952381041
MUTAG,attrs,0.25,netlsd,128,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.5,netlsd,128,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.75,netlsd,128,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,1.0,netlsd,128,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.25,netlsd,256,0,0.9981305863053707,8.542799502960133,0.005319148936170137,-0.037234042553191515,0.002881021971320896,-0.04338625221532899,-0.03212698412698434,-0.018539682539682523
MUTAG,edges,0.5,netlsd,256,0,0.996755346597548,11.525700626997914,0.015957446808510634,-0.05319148936170215,0.014913792068607101,-0.060722830876940304,-0.02069841269841266,-0.033777777777777684
MUTAG,edges,0.75,netlsd,256,0,0.9971246984331966,12.182563280346034,0.010638297872340385,-0.005319148936170248,0.00698164026893755,-0.008326906509892318,-0.02400000000000002,-0.0060952380952380425
MUTAG,edges,1.0,netlsd,256,0,0.994867665603357,17.53807878934046,-0.015957446808510634,-0.037234042553191515,-0.024286716763958216,-0.040953713801595626,-0.0021587301587302488,-0.014603174603174507
MUTAG,attrs,0.25,netlsd,256,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.5,netlsd,256,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.75,netlsd,256,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,1.0,netlsd,256,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.25,gin,16,0,0.99834144115448,0.32819345593452454,-0.04787234042553201,0.021276595744680882,-0.06462925912738116,0.023601041960894964,-0.0323809523809524,0.009777777777777774
MUTAG,edges,0.5,gin,16,0,0.9971750378608704,0.3872184753417969,-0.06382978723404265,0.015957446808510634,-0.08925142459908542,0.01653953588647783,-0.05231746031746021,0.008380952380952378
MUTAG,edges,0.75,gin,16,0,0.9946286678314209,0.4395500421524048,-0.015957446808510634,0.005319148936170248,-0.03580102611961555,0.005084338753861273,-0.029714285714285693,0.00914285714285723
MUTAG,edges,1.0,gin,16,0,0.9813739061355591,0.6123093366622925,0.04255319148936165,0.015957446808510634,0.04481943476275174,0.017020846690369185,-0.002349206349206212,0.010095238095238157
MUTAG,attrs,0.25,gin,16,0,0.9996604323387146,0.10216210037469864,0.015957446808510634,0.005319148936170248,0.014595693404124477,0.003901011259962006,0.010666666666666713,-0.00012698412698408656
MUTAG,attrs,0.5,gin,16,0,0.9992488026618958,0.15400290489196777,-0.005319148936170248,-0.010638297872340385,-0.012169308824559799,-0.011800520980447593,0.010539682539682627,0.007238095238095266
MUTAG,attrs,0.75,gin,16,0,0.9976988434791565,0.2135486602783203,-0.04787234042553201,-0.02659574468085102,-0.06251583955625328,-0.032500176296511474,-0.021714285714285797,-0.01320634920634911
MUTAG,attrs,1.0,gin,16,0,0.9983341693878174,0.2383057028055191,0.015957446808510634,-0.04255319148936165,0.011995992116987209,-0.04814245368021697,0.0005079365079365683,-0.013968253968253963
MUTAG,edges,0.25,gin,32,0,0.9594513773918152,0.763539731502533,0.015957446808510634,0.02659574468085113,0.008136249859333033,0.029365315495058497,-0.023111111111111082,0.007365079365079241
MUTAG,edges,0.5,gin,32,0,0.9139206409454346,0.9910902380943298,-0.02659574468085102,0.021276595744680882,-0.041265931194404915,0.023325727814036523,-0.04228571428571426,0.0066031746031745
MUTAG,edges,0.75,gin,32,0,0.8128134608268738,1.3094966411590576,0.05319148936170215,0.03191489361702127,0.05484473270629231,0.03535678342903659,0.013968253968253963,0.00787301587301581
MUTAG,edges,1.0,gin,32,0,0.8074181079864502,1.550208568572998,0.0585106382978724,-0.005319148936170137,0.06126476685541016,-0.006829256957578522,0.02368253968253964,0.002349206349206212
MUTAG,attrs,0.25,gin,32,0,0.9522397518157959,0.45529329776763916,-0.010638297872340385,0.021276595744680882,-0.02019014899522764,0.02317784772540621,-0.011301587301587257,0.003555555555555423
MUTAG,attrs,0.5,gin,32,0,0.9409091472625732,0.6144998669624329,-0.037234042553191515,0.015957446808510634,-0.051619161716018436,0.017236283236994,-0.011682539682539739,0.005587301587301474
MUTAG,attrs,0.75,gin,32,0,0.9417984485626221,0.6319586038589478,-0.03191489361702127,-0.037234042553191515,-0.04102777725386708,-0.04292756724943725,-0.029079365079365038,-0.0107936507936508
MUTAG,attrs,1.0,gin,32,0,0.9310649037361145,0.7122984528541565,-0.04255319148936165,-0.03191489361702127,-0.04961629985429783,-0.036594590911063096,-0.049015873015872846,-0.004444444444444584
MUTAG,edges,0.25,gin,64,0,0.9438981413841248,1.2521263360977173,-0.0478723404255319,0.02659574468085102,-0.06364402461963437,0.02996015936254981,-0.04926984126984135,0.0025396825396826195
MUTAG,edges,0.5,gin,64,0,0.8978592753410339,1.53519606590271,-0.05319148936170215,0.02659574468085102,-0.07084815940997613,0.02996015936254981,-0.04609523809523797,0.0025396825396826195
MUTAG,edges,0.75,gin,64,0,0.8656017184257507,1.9111565351486206,-0.005319148936170248,0.02127659574468077,-0.01123721285453394,0.023968127490039848,0.0031746031746031633,0.0022857142857144463
MUTAG,edges,1.0,gin,64,0,0.7667649388313293,2.576917886734009,0.02659574468085102,-0.021276595744680882,0.026303000640222285,-0.02441176775593079,-0.006285714285714228,-0.0026031746031744962
MUTAG,attrs,0.25,gin,64,0,0.9631266593933105,0.8108341097831726,-0.010638297872340496,-0.005319148936170248,-0.009645753525026834,-0.005574114830998567,-0.008507936507936353,-0.0006349206349205438
MUTAG,attrs,0.5,gin,64,0,0.9065026044845581,1.5565162897109985,-0.042553191489361764,-0.03191489361702127,-0.05474515322076301,-0.03543528066527801,-0.03187301587301583,-0.005968253968253845
MUTAG,attrs,0.75,gin,64,0,0.8889473676681519,1.853934407234192,-0.015957446808510634,-0.037234042553191515,-0.01821885312347149,-0.041658888256497884,-0.020952380952380945,-0.010539682539682516
MUTAG,attrs,1.0,gin,64,0,0.8748629093170166,1.5596802234649658,0.05319148936170204,0.02659574468085102,0.056858789431566636,0.02996015936254981,0.014349206349206334,0.0025396825396826195
MUTAG,edges,0.25,gin,128,0,0.8327286243438721,1.8605927228927612,-0.02659574468085102,0.015957446808510634,-0.03518059263461637,0.017700781470671334,-0.03022222222222226,0.0007619047619047414
MUTAG,edges,0.5,gin,128,0,0.8204216361045837,2.1287546157836914,-0.03191489361702127,0.010638297872340385,-0.04357680191822688,0.011708749598161372,-0.017142857142857237,0.0006349206349206549
MUTAG,edges,0.75,gin,128,0,0.7843208909034729,2.716318368911743,-0.04255319148936165,-0.005319148936170248,-0.059500023995511464,-0.00617223440234449,-0.03936507936507949,-0.0012698412698413097
MUTAG,edges,1.0,gin,128,0,0.758629322052002,2.6965553760528564,0.015957446808510634,-0.15957446808510634,0.01637507172178998,-0.1729861710420073,0.005142857142857005,-0.0904761904761906
MUTAG,attrs,0.25,gin,128,0,0.899193286895752,1.3836570978164673,-0.02659574468085102,-0.03191489361702127,-0.026685765740517287,-0.03540156294134267,-0.02247619047619054,-0.004063492063492102
MUTAG,attrs,0.5,gin,128,0,0.8088158369064331,2.371004581451416,-0.021276595744680882,-0.0478723404255319,-0.02840764764152892,-0.05336776691642542,-0.02653968253968253,-0.011809523809523714
MUTAG,attrs,0.75,gin,128,0,0.775585412979126,2.475003242492676,-0.03191489361702127,-0.03191489361702127,-0.039127949592151046,-0.035804578552096844,-0.02400000000000002,-0.008507936507936575
MUTAG,attrs,1.0,gin,128,0,0.735104501247406,2.6736319065093994,-0.06382978723404253,0.010638297872340385,-0.08467747143089388,0.011755741468141512,-0.05155555555555558,0.0007619047619047414
MUTAG,edges,0.25,gin,256,0,0.8335418701171875,2.9684078693389893,-0.037234042553191404,0.005319148936170248,-0.045040023640754656,0.005945040002529822,-0.03720634920634913,0.0
MUTAG,edges,0.5,gin,256,0,0.7377158403396606,3.4870424270629883,-0.0851063829787233,-0.21276595744680848,-0.10408934606828102,-0.25085989086536964,-0.04977777777777781,-0.1641904761904761
MUTAG,edges,0.75,gin,256,0,0.6499904990196228,5.215590000152588,-0.005319148936170137,0.0,-0.008481929328649662,-4.699186998013971e-05,-0.00025396825396817313,0.0
MUTAG,edges,1.0,gin,256,0,0.6793621182441711,4.6347527503967285,-0.05319148936170204,-0.037234042553191404,-0.0639616935483871,-0.04218604038661511,-0.025587301587301492,-0.004761904761904745
MUTAG,attrs,0.25,gin,256,0,0.8276582360267639,3.2640764713287354,-0.06382978723404253,-0.015957446808510634,-0.06993222200367166,-0.01774447612650243,-0.03263492063492057,-0.004444444444444473
MUTAG,attrs,0.5,gin,256,0,0.7890008091926575,3.9163572788238525,-0.04255319148936165,-0.015957446808510634,-0.048388280849974374,-0.017927975870486,-0.0269206349206349,-0.0030476190476189657
MUTAG,attrs,0.75,gin,256,0,0.7496975064277649,4.117560386657715,-0.06382978723404253,-0.18617021276595747,-0.07351270481310801,-0.20891210285461304,-0.03111111111111109,-0.1212698412698413
MUTAG,attrs,1.0,gin,256,0,0.7481549978256226,3.6803367137908936,-0.04255319148936165,0.005319148936170248,-0.05055771458878977,0.005945040002529822,-0.03073015873015872,0.0
MUTAG,edges,0.25,graph2vec,16,1,0.9309080243110657,0.29571810364723206,0.037234042553191404,0.0,0.04892828737388877,0.0,0.021333333333333315,0.0
MUTAG,edges,0.5,graph2vec,16,1,0.8758601546287537,0.34940484166145325,0.005319148936170137,0.0,0.01283938791666639,0.0,0.05346031746031743,0.0
MUTAG,edges,0.75,graph2vec,16,1,0.9168586134910583,0.2957765460014343,0.07978723404255317,0.0,0.11573345225073295,0.0,0.09447619047619049,0.0
MUTAG,edges,1.0,graph2vec,16,1,0.8879215121269226,0.45939749479293823,0.0,0.0,0.025654540698736072,0.0,0.05320634920634926,0.0
MUTAG,attrs,0.25,graph2vec,16,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.5,graph2vec,16,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.75,graph2vec,16,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,1.0,graph2vec,16,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.25,graph2vec,32,1,0.9634920358657837,0.2176058292388916,0.010638297872340385,0.0,0.012782593914669405,0.0,0.03314285714285714,0.0
MUTAG,edges,0.5,graph2vec,32,1,0.9397183656692505,0.24205638468265533,0.015957446808510634,0.0,0.027814863896701736,0.0,0.03936507936507938,0.0
MUTAG,edges,0.75,graph2vec,32,1,0.9247073531150818,0.2623886466026306,0.015957446808510634,0.0,0.020496764836387515,0.0,0.05180952380952375,0.0
MUTAG,edges,1.0,graph2vec,32,1,0.8875003457069397,0.45914825797080994,0.015957446808510634,0.0,0.02548889913886654,0.0,0.05358730158730152,0.0
MUTAG,attrs,0.25,graph2vec,32,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.5,graph2vec,32,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.75,graph2vec,32,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,1.0,graph2vec,32,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.25,graph2vec,64,1,0.9516087174415588,0.2243434190750122,0.015957446808510634,0.0,0.02143847272264532,0.0,0.017269841269841213,0.0
MUTAG,edges,0.5,graph2vec,64,1,0.9305355548858643,0.24454627931118011,0.04255319148936165,0.0,0.0530165025717203,0.0,0.045841269841269794,0.0
MUTAG,edges,0.75,graph2vec,64,1,0.9382705688476562,0.2314326912164688,0.04255319148936165,0.0,0.055663520789494325,0.0,0.05053968253968244,0.0
MUTAG,edges,1.0,graph2vec,64,1,0.9068478345870972,0.42146748304367065,0.037234042553191404,0.0,0.04613956324951429,0.0,0.033015873015873054,0.0
MUTAG,attrs,0.25,graph2vec,64,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.5,graph2vec,64,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.75,graph2vec,64,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,1.0,graph2vec,64,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.25,graph2vec,128,1,0.9405845999717712,0.22143737971782684,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.5,graph2vec,128,1,0.9262121319770813,0.22008036077022552,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.75,graph2vec,128,1,0.9428371787071228,0.2001127451658249,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,1.0,graph2vec,128,1,0.9079383015632629,0.404295951128006,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.25,graph2vec,128,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.5,graph2vec,128,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.75,graph2vec,128,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,1.0,graph2vec,128,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.25,graph2vec,256,1,0.9519588947296143,0.1889471858739853,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.5,graph2vec,256,1,0.928203821182251,0.19355952739715576,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.75,graph2vec,256,1,0.9450363516807556,0.17491109669208527,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,1.0,graph2vec,256,1,0.8942772150039673,0.4110065996646881,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.25,graph2vec,256,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.5,graph2vec,256,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.75,graph2vec,256,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,1.0,graph2vec,256,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.25,netlsd,16,1,0.939278386691845,6.219607376554159,-0.0585106382978724,0.015957446808510634,-0.06599900313665608,0.018566067548884013,-0.01949206349206345,0.0013333333333332975
MUTAG,edges,0.5,netlsd,16,1,0.9352155103711635,6.5367219319889065,-0.0478723404255319,0.010638297872340385,-0.052961496736246394,0.01213372918549116,-0.03155555555555556,0.0012698412698413097
MUTAG,edges,0.75,netlsd,16,1,0.9360988613186483,6.170146027516653,-0.0585106382978724,0.0,-0.06993898329538628,0.0008669133629251036,-0.04596825396825388,-6.349206349198777e-05
MUTAG,edges,1.0,netlsd,16,1,0.9836035859482926,6.581175802148061,-0.021276595744680882,-0.06914893617021278,-0.024673005539742165,-0.07936611109852565,-0.010603174603174614,-0.026984126984127
MUTAG,attrs,0.25,netlsd,16,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.5,netlsd,16,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.75,netlsd,16,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,1.0,netlsd,16,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.25,netlsd,32,1,0.9392783866918456,6.21960737655435,-0.02659574468085113,0.005319148936170248,-0.029062166719722393,0.00614348266482212,-0.01447619047619042,0.0003809523809523707
MUTAG,edges,0.5,netlsd,32,1,0.9352155103711625,6.53672193198904,-0.042553191489361764,-0.005319148936170137,-0.045645205532214295,-0.005457741641666791,-0.02863492063492068,-0.0003174603174602719
MUTAG,edges,0.75,netlsd,32,1,0.9360988613186392,6.170146027516899,-0.07446808510638303,-0.005319148936170137,-0.08237222806165623,-0.005457741641666791,-0.04361904761904767,-0.0009523809523809268
MUTAG,edges,1.0,netlsd,32,1,0.983603585948292,6.5811758021480955,-0.03191489361702127,-0.07446808510638292,-0.03462619631562447,-0.08493610429843812,-0.016380952380952274,-0.027111111111111086
MUTAG,attrs,0.25,netlsd,32,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.5,netlsd,32,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.75,netlsd,32,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,1.0,netlsd,32,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.25,netlsd,64,1,0.9392783866918456,6.21960737655435,-0.010638297872340496,0.0,-0.011840245775729619,0.0,0.0,0.0
MUTAG,edges,0.5,netlsd,64,1,0.9352155103711625,6.53672193198904,-0.010638297872340496,-0.005319148936170248,-0.012032770097286205,-0.005943325520243681,-0.0008253968253967292,-0.00019047619047618536
MUTAG,edges,0.75,netlsd,64,1,0.9360988613186392,6.170146027516899,-0.042553191489361764,-0.010638297872340496,-0.04719102022529442,-0.011840245775729619,-0.004761904761904745,-0.0009523809523809268
MUTAG,edges,1.0,netlsd,64,1,0.983603585948292,6.5811758021480955,-0.06914893617021278,-0.06914893617021278,-0.07784770799036322,-0.07784770799036322,-0.018476190476190424,-0.01828571428571435
MUTAG,attrs,0.25,netlsd,64,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.5,netlsd,64,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
