src,tgt,method,dim,seed,acc,f1,auc,acc_src,f1_src,auc_src,delta_acc,delta_f1,delta_auc
MUTAG,MUTAG,gin,32,0,0.9468085106382979,0.9416294088425236,0.9832380952380952,0.9468085106382979,0.9416294088425236,0.9832380952380952,0.0,0.0,0.0
MUTAG,ENZYMES,gin,32,0,0.16666666666666666,0.047619047619047616,0.500985,0.9468085106382979,0.9416294088425236,0.9832380952380952,0.7801418439716312,0.894010361223476,0.48225309523809523
MUTAG,IMDB-MULTI,gin,32,0,0.3333333333333333,0.16666666666666666,0.543007,0.9468085106382979,0.9416294088425236,0.9832380952380952,0.6134751773049645,0.7749627421758569,0.4402310952380952
ENZYMES,MUTAG,gin,32,0,0.0,0.0,0.5,0.6133333333333333,0.6118100252330573,0.8933299999999998,0.6133333333333333,0.6118100252330573,0.39332999999999985
ENZYMES,ENZYMES,gin,32,0,0.6133333333333333,0.6118100252330573,0.8933299999999998,0.6133333333333333,0.6118100252330573,0.8933299999999998,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,gin,32,0,0.11666666666666667,0.0781991748072911,,0.6133333333333333,0.6118100252330573,0.8933299999999998,0.4966666666666666,0.5336108504257662,
IMDB-MULTI,MUTAG,gin,32,0,0.3351063829787234,0.250996015936255,0.5,0.484,0.45350389610389613,0.6633646666666667,0.14889361702127657,0.20250788016764115,0.1633646666666667
IMDB-MULTI,ENZYMES,gin,32,0,0.16666666666666666,0.047619047619047616,0.5052333333333333,0.484,0.45350389610389613,0.6633646666666667,0.31733333333333336,0.4058848484848485,0.1581313333333334
IMDB-MULTI,IMDB-MULTI,gin,32,0,0.484,0.45350389610389613,0.6633646666666667,0.484,0.45350389610389613,0.6633646666666667,0.0,0.0,0.0
MUTAG,MUTAG,graph2vec,64,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MUTAG,ENZYMES,graph2vec,64,0,0.16666666666666666,0.04775549188156638,0.51048,1.0,1.0,1.0,0.8333333333333334,0.9522445081184336,0.48951999999999996
MUTAG,IMDB-MULTI,graph2vec,64,0,0.342,0.2653686662815516,0.5156565,1.0,1.0,1.0,0.6579999999999999,0.7346313337184485,0.48434350000000004
ENZYMES,MUTAG,graph2vec,64,0,0.0,0.0,0.48469841269841274,1.0,1.0,1.0,1.0,1.0,0.5153015873015873
ENZYMES,ENZYMES,graph2vec,64,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,graph2vec,64,0,0.025333333333333333,0.023628100776658428,,1.0,1.0,1.0,0.9746666666666667,0.9763718992233416,
IMDB-MULTI,MUTAG,graph2vec,64,0,0.3351063829787234,0.250996015936255,0.3573333333333334,0.9053333333333333,0.9053276968991696,0.985102,0.5702269503546099,0.6543316809629146,0.6277686666666666
IMDB-MULTI,ENZYMES,graph2vec,64,0,0.16666666666666666,0.047619047619047616,0.51634,0.9053333333333333,0.9053276968991696,0.985102,0.7386666666666667,0.857708649280122,0.468762
IMDB-MULTI,IMDB-MULTI,graph2vec,64,0,0.9053333333333333,0.9053276968991696,0.985102,0.9053333333333333,0.9053276968991696,0.985102,0.0,0.0,0.0
MUTAG,MUTAG,netlsd,64,0,0.9893617021276596,0.9879672299027138,0.9994285714285714,0.9893617021276596,0.9879672299027138,0.9994285714285714,0.0,0.0,0.0
MUTAG,ENZYMES,netlsd,64,0,0.14333333333333334,0.06666666666666667,0.458935,0.9893617021276596,0.9879672299027138,0.9994285714285714,0.8460283687943263,0.9213005632360471,0.5404935714285715
MUTAG,IMDB-MULTI,netlsd,64,0,0.33,0.22902842241582103,0.4568255,0.9893617021276596,0.9879672299027138,0.9994285714285714,0.6593617021276597,0.7589388074868928,0.5426030714285714
ENZYMES,MUTAG,netlsd,64,0,0.07446808510638298,0.04005414874980092,0.43409523809523815,1.0,1.0,1.0,0.925531914893617,0.959945851250199,0.5659047619047619
ENZYMES,ENZYMES,netlsd,64,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,netlsd,64,0,0.192,0.1103656398084938,,1.0,1.0,1.0,0.808,0.8896343601915062,
